frame,pupil_norm
1,-14.884859866321902
2,-14.884859866321902
3,-14.884859866321902
4,-14.884859866321902
5,-14.884859866321902
6,-14.884859866321902
7,-14.884859866321902
8,-14.884859866321902
9,-14.884859866321902
10,-14.884859866321902
11,-14.884859866321902
12,-14.884859866321902
13,-14.884859866321902
14,-14.884859866321902
15,-14.884859866321902
16,-14.884859866321902
17,-14.884859866321902
18,-14.884859866321902
19,-14.884859866321902
20,-14.884859866321902
21,-14.884859866321902
22,-14.884859866321902
23,-14.884859866321902
24,-14.884859866321902
25,-14.884859866321902
26,-14.884859866321902
27,-14.884859866321902
28,-14.884859866321902
29,-14.884859866321902
30,-14.884859866321902
31,-14.884859866321902
32,-14.884859866321902
33,-14.884859866321902
34,-14.884859866321902
35,-14.884859866321902
36,-14.884859866321902
37,-14.884859866321902
38,-14.884859866321902
39,-14.884859866321902
40,-14.884859866321902
41,-14.884859866321902
42,-14.884859866321902
43,-14.884859866321902
44,-14.884859866321902
45,-14.884859866321902
46,-14.884859866321902
47,-14.884859866321902
48,-14.884859866321902
49,-14.884859866321902
50,-14.884859866321902
51,-14.884859866321902
52,-14.884859866321902
53,-14.884859866321902
54,-14.884859866321902
55,-14.884859866321902
56,-14.884859866321902
57,-14.884859866321902
58,-14.884859866321902
59,-14.884859866321902
60,-14.884859866321902
61,-14.884859866321902
62,-14.884859866321902
63,-14.884859866321902
64,-14.884859866321902
65,-14.884859866321902
66,-14.884859866321902
67,-14.884859866321902
68,-14.884859866321902
69,-14.884859866321902
70,-14.884859866321902
71,-14.884859866321902
72,-14.884859866321902
73,-14.884859866321902
74,-14.884859866321902
75,-14.884859866321902
76,-14.884859866321902
77,-14.884859866321902
78,-14.884859866321902
79,-14.884859866321902
80,-14.884859866321902
81,-14.884859866321902
82,-14.884859866321902
83,-14.884859866321902
84,-14.884859866321902
85,-14.884859866321902
86,-14.884859866321902
87,-14.884859866321902
88,-14.884859866321902
89,-14.884859866321902
90,-14.884859866321902
91,-14.884859866321902
92,-14.884859866321902
93,-14.884859866321902
94,-14.884859866321902
95,-14.884859866321902
96,-14.884859866321902
97,-14.884859866321902
98,-14.884859866321902
99,-14.884859866321902
100,-14.884859866321902
101,-14.884859866321902
102,-14.884859866321902
103,-14.884859866321902
104,-14.884859866321902
105,-14.884859866321902
106,-14.884859866321902
107,-14.884859866321902
108,-14.884859866321902
109,-14.884859866321902
110,-14.884859866321902
111,-14.884859866321902
112,-14.884859866321902
113,-14.884859866321902
114,-14.884859866321902
115,-14.884859866321902
116,-14.884859866321902
117,-14.884859866321902
118,-14.884859866321902
119,-14.884859866321902
120,-14.884859866321902
121,-14.884859866321902
122,-14.884859866321902
123,-14.884859866321902
124,-14.884859866321902
125,-14.884859866321902
126,-14.884859866321902
127,-14.884859866321902
128,-14.884859866321902
129,-14.884859866321902
130,-14.884859866321902
131,-14.884859866321902
132,-14.884859866321902
133,-14.884859866321902
134,-14.884859866321902
135,-14.884859866321902
136,-14.884859866321902
137,-14.884859866321902
138,-14.884859866321902
139,-14.884859866321902
140,-14.884859866321902
141,-14.884859866321902
142,-14.884859866321902
143,-14.884859866321902
144,-14.884859866321902
145,-14.884859866321902
146,-14.884859866321902
147,-14.884859866321902
148,-14.884859866321902
149,-14.884859866321902
150,-14.884859866321902
151,-14.884859866321902
152,-14.884859866321902
153,-14.884859866321902
154,-14.884859866321902
155,-14.884859866321902
156,-14.884859866321902
157,-14.884859866321902
158,-14.884859866321902
159,-14.884859866321902
160,-14.884859866321902
161,-14.884859866321902
162,-14.884859866321902
163,-14.884859866321902
164,-14.884859866321902
165,-14.884859866321902
166,-14.884859866321902
167,-14.884859866321902
168,-14.884859866321902
169,-14.884859866321902
170,-14.884859866321902
171,-14.884859866321902
172,-14.884859866321902
173,-14.884859866321902
174,-14.884859866321902
175,-14.884859866321902
176,-14.884859866321902
177,-14.884859866321902
178,-14.884859866321902
179,-14.884859866321902
180,-14.884859866321902
181,-14.884859866321902
182,-14.884859866321902
183,-14.884859866321902
184,-14.884859866321902
185,-14.884859866321902
186,-14.884859866321902
187,-14.884859866321902
188,-14.884859866321902
189,-14.884859866321902
190,-14.884859866321902
191,-14.884859866321902
192,-14.884859866321902
193,-14.884859866321902
194,-14.884859866321902
195,-14.884859866321902
196,-14.884859866321902
197,-14.884859866321902
198,-14.884859866321902
199,-14.884859866321902
200,-14.884859866321902
201,-14.884859866321902
202,-14.884859866321902
203,-14.884859866321902
204,-14.884859866321902
205,-14.884859866321902
206,-14.884859866321902
207,-14.884859866321902
208,-14.884859866321902
209,-14.884859866321902
210,-14.884859866321902
211,-14.884859866321902
212,-14.884859866321902
213,-14.884859866321902
214,-14.884859866321902
215,-14.884859866321902
216,-14.884859866321902
217,-14.884859866321902
218,-14.884859866321902
219,-14.884859866321902
220,-14.884859866321902
221,-14.884859866321902
222,-14.884859866321902
223,-14.884859866321902
224,-14.884859866321902
225,-14.884859866321902
226,-14.884859866321902
227,-14.884859866321902
228,-14.884859866321902
229,-14.884859866321902
230,-14.884859866321902
231,-14.884859866321902
232,-14.884859866321902
233,-14.884859866321902
234,-14.884859866321902
235,-14.884859866321902
236,-14.884859866321902
237,-14.884859866321902
238,-14.884859866321902
239,-14.884859866321902
240,-14.884859866321902
241,-14.884859866321902
242,-14.884859866321902
243,-14.884859866321902
244,-14.884859866321902
245,-14.884859866321902
246,-14.884859866321902
247,-14.884859866321902
248,-14.884859866321902
249,-14.884859866321902
250,-14.884859866321902
251,-14.884859866321902
252,-14.884859866321902
253,-14.884859866321902
254,-14.884859866321902
255,-14.884859866321902
256,-14.884859866321902
257,-14.884859866321902
258,-14.884859866321902
259,-14.884859866321902
260,-14.884859866321902
261,-14.884859866321902
262,-14.884859866321902
263,-14.884859866321902
264,-14.884859866321902
265,-14.884859866321902
266,-14.884859866321902
267,-14.884859866321902
268,-14.884859866321902
269,-14.884859866321902
270,-14.884859866321902
271,-14.884859866321902
272,-14.884859866321902
273,-14.884859866321902
274,-14.884859866321902
275,-14.884859866321902
276,-14.884859866321902
277,-14.884859866321902
278,-14.884859866321902
279,-14.884859866321902
280,-14.884859866321902
281,-14.884859866321902
282,-14.884859866321902
283,-14.884859866321902
284,-14.884859866321902
285,-14.884859866321902
286,-14.884859866321902
287,-14.884859866321902
288,-14.884859866321902
289,-14.884859866321902
290,-14.884859866321902
291,-14.884859866321902
292,-14.884859866321902
293,-14.884859866321902
294,-14.884859866321902
295,-14.884859866321902
296,-14.884859866321902
297,-14.884859866321902
298,-14.884859866321902
299,-14.884859866321902
300,-14.884859866321902
301,-14.884859866321902
302,-14.884859866321902
303,-14.884859866321902
304,-14.884859866321902
305,-14.884859866321902
306,-14.884859866321902
307,-14.884859866321902
308,-14.884859866321902
309,-14.884859866321902
310,-14.884859866321902
311,-14.884859866321902
312,-14.884859866321902
313,-14.884859866321902
314,-14.884859866321902
315,-14.884859866321902
316,-14.884859866321902
317,-14.884859866321902
318,-14.884859866321902
319,-14.884859866321902
320,-14.884859866321902
321,-14.884859866321902
322,-14.884859866321902
323,-14.884859866321902
324,-14.884859866321902
325,-14.884859866321902
326,-14.884859866321902
327,-14.884859866321902
328,-14.884859866321902
329,-14.884859866321902
330,-14.884859866321902
331,-14.884859866321902
332,-14.884859866321902
333,-14.884859866321902
334,-14.884859866321902
335,-14.884859866321902
336,-14.884859866321902
337,-14.884859866321902
338,-14.884859866321902
339,-14.884859866321902
340,-14.884859866321902
341,-14.884859866321902
342,-14.884859866321902
343,-14.884859866321902
344,-14.884859866321902
345,-14.884859866321902
346,-14.884859866321902
347,-14.884859866321902
348,-14.884859866321902
349,-14.884859866321902
350,-14.884859866321902
351,-14.884859866321902
352,-14.884859866321902
353,-14.884859866321902
354,-14.884859866321902
355,-14.884859866321902
356,-14.884859866321902
357,-14.884859866321902
358,-14.884859866321902
359,-14.884859866321902
360,-14.884859866321902
361,-14.884859866321902
362,-14.884859866321902
363,-14.884859866321902
364,-14.884859866321902
365,-14.884859866321902
366,-14.884859866321902
367,-14.884859866321902
368,-14.884859866321902
369,-14.884859866321902
370,-14.884859866321902
371,-14.884859866321902
372,-14.884859866321902
373,-14.884859866321902
374,-14.884859866321902
375,-14.884859866321902
376,-14.884859866321902
377,-14.884859866321902
378,-14.884859866321902
379,-14.884859866321902
380,-14.884859866321902
381,-14.884859866321902
382,-14.884859866321902
383,-14.884859866321902
384,-14.884859866321902
385,-14.884859866321902
386,-14.884859866321902
387,-14.884859866321902
388,-14.884859866321902
389,-14.884859866321902
390,-14.884859866321902
391,-14.884859866321902
392,-14.884859866321902
393,-14.884859866321902
394,-14.884859866321902
395,-14.884859866321902
396,-14.884859866321902
397,-14.884859866321902
398,-14.884859866321902
399,-14.884859866321902
400,-14.884859866321902
401,-14.884859866321902
402,-14.884859866321902
403,-14.884859866321902
404,-14.884859866321902
405,-14.884859866321902
406,-14.884859866321902
407,-14.884859866321902
408,-14.884859866321902
409,-14.884859866321902
410,-14.884859866321902
411,-14.884859866321902
412,-14.884859866321902
413,-14.884859866321902
414,-14.884859866321902
415,-14.884859866321902
416,-14.884859866321902
417,-14.884859866321902
418,-14.884859866321902
419,-14.884859866321902
420,-14.884859866321902
421,-14.884859866321902
422,-14.884859866321902
423,-14.884859866321902
424,-14.884859866321902
425,-14.884859866321902
426,-14.884859866321902
427,-14.884859866321902
428,-14.884859866321902
429,-14.884859866321902
430,-14.884859866321902
431,-14.884859866321902
432,-14.884859866321902
433,-14.884859866321902
434,-14.884859866321902
435,-14.884859866321902
436,-14.884859866321902
437,-14.884859866321902
438,-14.884859866321902
439,-14.884859866321902
440,-14.884859866321902
441,-14.884859866321902
442,-14.884859866321902
443,-14.884859866321902
444,-14.884859866321902
445,-14.884859866321902
446,-14.884859866321902
447,-14.884859866321902
448,-14.884859866321902
449,-14.884859866321902
450,-14.884859866321902
451,-14.884859866321902
452,-14.884859866321902
453,-14.884859866321902
454,-14.884859866321902
455,-14.884859866321902
456,-14.884859866321902
457,-14.884859866321902
458,-14.884859866321902
459,-14.884859866321902
460,-14.884859866321902
461,-14.884859866321902
462,-14.884859866321902
463,-14.884859866321902
464,-14.884859866321902
465,-14.884859866321902
466,-14.884859866321902
467,-14.884859866321902
468,-14.884859866321902
469,-14.884859866321902
470,-14.884859866321902
471,-14.884859866321902
472,-14.884859866321902
473,-14.884859866321902
474,-14.884859866321902
475,-14.884859866321902
476,-14.884859866321902
477,-14.884859866321902
478,-14.884859866321902
479,-14.884859866321902
480,-14.884859866321902
481,-14.884859866321902
482,-14.884859866321902
483,-14.884859866321902
484,-14.884859866321902
485,-14.884859866321902
486,-14.884859866321902
487,-14.884859866321902
488,-14.884859866321902
489,-14.884859866321902
490,-14.884859866321902
491,-14.884859866321902
492,-14.884859866321902
493,-14.884859866321902
494,-14.884859866321902
495,-14.884859866321902
496,-14.884859866321902
497,-14.884859866321902
498,-14.884859866321902
499,-14.884859866321902
500,-14.884859866321902
501,-14.884859866321902
502,-14.884859866321902
503,-14.884859866321902
504,-14.884859866321902
505,-14.884859866321902
506,-14.884859866321902
507,-14.884859866321902
508,-14.884859866321902
509,-14.884859866321902
510,-14.884859866321902
511,-14.884859866321902
512,-14.884859866321902
513,-14.884859866321902
514,-14.884859866321902
515,-14.884859866321902
516,-14.884859866321902
517,-14.884859866321902
518,-14.884859866321902
519,-14.884859866321902
520,-14.884859866321902
521,-14.884859866321902
522,-14.884859866321902
523,-14.884859866321902
524,-14.884859866321902
525,-14.884859866321902
526,-14.884859866321902
527,-14.884859866321902
528,-14.884859866321902
529,-14.884859866321902
530,-14.884859866321902
531,-14.884859866321902
532,-14.884859866321902
533,-14.884859866321902
534,-14.884859866321902
535,-14.884859866321902
536,-14.884859866321902
537,-14.884859866321902
538,-14.884859866321902
539,-14.884859866321902
540,-14.884859866321902
541,-14.884859866321902
542,-14.884859866321902
543,-14.884859866321902
544,-14.884859866321902
545,-14.884859866321902
546,-14.884859866321902
547,-14.884859866321902
548,-14.884859866321902
549,-14.884859866321902
550,-14.884859866321902
551,-14.884859866321902
552,-14.884859866321902
553,-14.884859866321902
554,-14.884859866321902
555,-14.884859866321902
556,-14.884859866321902
557,-14.884859866321902
558,-14.884859866321902
559,-14.884859866321902
560,-14.884859866321902
561,-14.884859866321902
562,-14.884859866321902
563,-14.884859866321902
564,-14.884859866321902
565,-14.884859866321902
566,-14.884859866321902
567,-14.884859866321902
568,-14.884859866321902
569,-14.884859866321902
570,-14.884859866321902
571,-14.884859866321902
572,-14.884859866321902
573,-14.884859866321902
574,-14.884859866321902
575,-14.884859866321902
576,-14.884859866321902
577,-14.884859866321902
578,-14.884859866321902
579,-14.884859866321902
580,-14.884859866321902
581,-14.884859866321902
582,-14.884859866321902
583,-14.884859866321902
584,-14.884859866321902
585,-14.884859866321902
586,-14.884859866321902
587,-14.884859866321902
588,-14.884859866321902
589,-14.884859866321902
590,-14.884859866321902
591,-14.884859866321902
592,-14.884859866321902
593,-14.884859866321902
594,-14.884859866321902
595,-14.884859866321902
596,-14.884859866321902
597,-14.884859866321902
598,-14.884859866321902
599,-14.884859866321902
600,-14.884859866321902
601,-14.884859866321902
602,-14.884859866321902
603,-14.884859866321902
604,-14.884859866321902
605,-14.884859866321902
606,-14.884859866321902
607,-14.884859866321902
608,-14.884859866321902
609,-14.884859866321902
610,-14.884859866321902
611,-14.884859866321902
612,-14.884859866321902
613,-14.884859866321902
614,-14.884859866321902
615,-14.884859866321902
616,-14.884859866321902
617,-14.884859866321902
618,-14.884859866321902
619,-14.884859866321902
620,-14.884859866321902
621,-14.884859866321902
622,-14.884859866321902
623,-14.884859866321902
624,-14.884859866321902
625,-14.884859866321902
626,-14.884859866321902
627,-14.884859866321902
628,-14.884859866321902
629,-14.884859866321902
630,-14.884859866321902
631,-14.884859866321902
632,-14.884859866321902
633,-14.884859866321902
634,-14.884859866321902
635,-14.884859866321902
636,-14.884859866321902
637,-14.884859866321902
638,-14.884859866321902
639,-14.884859866321902
640,-14.884859866321902
641,-14.884859866321902
642,-14.884859866321902
643,-14.884859866321902
644,-14.884859866321902
645,-14.884859866321902
646,-14.884859866321902
647,-14.884859866321902
648,-14.884859866321902
649,-14.884859866321902
650,-14.884859866321902
651,-14.884859866321902
652,-14.884859866321902
653,-14.884859866321902
654,-14.884859866321902
655,-14.884859866321902
656,-14.884859866321902
657,-14.884859866321902
658,-14.884859866321902
659,-14.884859866321902
660,-14.884859866321902
661,-14.884859866321902
662,-14.884859866321902
663,-14.884859866321902
664,-14.884859866321902
665,-14.884859866321902
666,-14.884859866321902
667,-14.884859866321902
668,-14.884859866321902
669,-14.884859866321902
670,-14.884859866321902
671,-14.884859866321902
672,-14.884859866321902
673,-14.884859866321902
674,-14.884859866321902
675,-14.884859866321902
676,-14.884859866321902
677,-14.884859866321902
678,-14.884859866321902
679,-14.884859866321902
680,-14.884859866321902
681,-14.884859866321902
682,-26.61547212833523
683,-26.61547212833523
684,-26.61547212833523
685,-26.61547212833523
686,-26.61547212833523
687,-26.61547212833523
688,-26.61547212833523
689,-26.61547212833523
690,-26.61547212833523
691,-26.61547212833523
692,-26.61547212833523
693,-26.61547212833523
694,-26.61547212833523
695,-26.61547212833523
696,-26.61547212833523
697,-26.61547212833523
698,-26.61547212833523
699,-26.61547212833523
700,-26.61547212833523
701,-26.61547212833523
702,-26.61547212833523
703,-26.61547212833523
704,-26.61547212833523
705,-26.61547212833523
706,-26.61547212833523
707,-26.61547212833523
708,-26.61547212833523
709,-26.61547212833523
710,-26.61547212833523
711,-26.61547212833523
712,-26.61547212833523
713,-26.61547212833523
714,-26.61547212833523
715,-26.61547212833523
716,-26.61547212833523
717,-26.61547212833523
718,-26.61547212833523
719,-26.61547212833523
720,-26.61547212833523
721,-26.61547212833523
722,-26.61547212833523
723,-26.61547212833523
724,-26.61547212833523
725,-26.61547212833523
726,-26.61547212833523
727,-26.61547212833523
728,-26.61547212833523
729,-26.61547212833523
730,-26.61547212833523
731,-26.61547212833523
732,-26.61547212833523
733,-26.61547212833523
734,-26.61547212833523
735,-26.61547212833523
736,-26.61547212833523
737,-26.61547212833523
738,-26.61547212833523
739,-26.61547212833523
740,-26.61547212833523
741,-26.61547212833523
742,-26.61547212833523
743,-26.61547212833523
744,-26.61547212833523
745,-26.61547212833523
746,-26.61547212833523
747,-26.61547212833523
748,-26.61547212833523
749,-26.61547212833523
750,-26.61547212833523
751,-26.61547212833523
752,-26.61547212833523
753,-26.61547212833523
754,-26.61547212833523
755,-26.61547212833523
756,-26.61547212833523
757,-26.61547212833523
758,-26.61547212833523
759,-26.61547212833523
760,-26.61547212833523
761,-26.61547212833523
762,-26.61547212833523
763,-26.61547212833523
764,-26.61547212833523
765,-26.61547212833523
766,-26.61547212833523
767,-26.61547212833523
768,-26.61547212833523
769,-26.61547212833523
770,-26.61547212833523
771,-26.61547212833523
772,-26.61547212833523
773,-26.61547212833523
774,-26.61547212833523
775,-26.61547212833523
776,-26.61547212833523
777,-26.61547212833523
778,-26.61547212833523
779,-26.61547212833523
780,-26.61547212833523
781,-26.61547212833523
782,-26.61547212833523
783,-26.61547212833523
784,-26.61547212833523
785,-26.61547212833523
786,-26.61547212833523
787,-26.61547212833523
788,-26.61547212833523
789,-26.61547212833523
790,-26.61547212833523
791,-26.61547212833523
792,-26.61547212833523
793,-26.61547212833523
794,-26.61547212833523
795,-26.61547212833523
796,-26.61547212833523
797,-26.61547212833523
798,-26.61547212833523
799,-26.61547212833523
800,-26.61547212833523
801,-26.61547212833523
802,-26.61547212833523
803,-26.61547212833523
804,-26.61547212833523
805,-26.61547212833523
806,-26.61547212833523
807,-26.61547212833523
808,-26.61547212833523
809,-26.61547212833523
810,-26.61547212833523
811,-26.61547212833523
812,-26.61547212833523
813,-26.61547212833523
