participant,condition,word,exposure,synchrony
LexVar139,stable,mob,1,36026.78783420213
LexVar140,stable,mob,1,32645.26713859452
LexVar140,stable,mob,1,46153.72383288661
LexVar146,stable,mob,1,46695.28299903054
LexVar146,stable,mob,1,45907.78813988913
LexVar151,stable,mob,1,44281.120638909946
LexVar151,stable,mob,1,43198.99058301951
LexVar157,stable,mob,1,42201.28295310218
LexVar157,stable,mob,1,47508.7241028442
LexVar163,stable,mob,1,47421.414676210006
LexVar163,stable,mob,1,46274.5587509564
LexVar169,stable,mob,1,25663.27177344423
LexVar169,stable,mob,1,32757.615303290877
LexVar170,stable,mob,1,45296.109438930565
LexVar170,stable,mob,1,44556.549717336115
LexVar175,stable,mob,1,45353.83962711173
LexVar175,stable,mob,1,45834.7183316075
LexVar176,stable,mob,1,47215.566395431124
LexVar176,stable,mob,1,47889.86174219535
LexVar181,stable,mob,1,46700.443775528445
LexVar181,stable,mob,1,46681.743613889565
LexVar182,stable,mob,1,32831.29305962096
LexVar182,stable,mob,1,44493.71317052693
LexVar188,stable,mob,1,47073.617600746205
LexVar188,stable,mob,1,43207.234639391696
LexVar103,stable,mob,4,25133.80136664663
LexVar104,stable,mob,4,24642.669304452123
LexVar110,stable,mob,4,26562.065153931904
LexVar116,stable,mob,4,27714.04533512195
LexVar121,stable,mob,4,13809.78610784363
LexVar133,stable,mob,4,27938.953064505837
LexVar133,stable,mob,4,23441.91036422409
LexVar139,stable,mob,4,25423.910783048585
LexVar146,stable,mob,4,28523.93965789686
LexVar151,stable,mob,4,26875.786478944192
LexVar151,stable,mob,4,28053.70690040544
LexVar157,stable,mob,4,23089.84754313358
LexVar157,stable,mob,4,28759.835221243262
LexVar163,stable,mob,4,28282.21219414737
LexVar163,stable,mob,4,27742.678307458595
LexVar169,stable,mob,4,23666.73424945826
LexVar170,stable,mob,4,24582.445108164404
LexVar170,stable,mob,4,27440.504014203845
LexVar175,stable,mob,4,29049.55484149525
LexVar175,stable,mob,4,14692.640054309391
LexVar176,stable,mob,4,28629.3365805763
LexVar176,stable,mob,4,28514.18365768316
LexVar181,stable,mob,4,28222.371902278745
LexVar181,stable,mob,4,28151.82357383418
LexVar188,stable,mob,4,26680.741123252563
LexVar103,stable,woi,1,74479.70730069336
LexVar103,stable,woi,1,71256.75076020659
LexVar104,stable,woi,1,77557.77320323477
LexVar104,stable,woi,1,77296.6572756229
LexVar110,stable,woi,1,75938.16920709975
LexVar110,stable,woi,1,75871.33878184429
LexVar116,stable,woi,1,78010.17951784837
LexVar116,stable,woi,1,73038.24676240108
LexVar121,stable,woi,1,73023.75132819262
LexVar121,stable,woi,1,76040.87705928397
LexVar133,stable,woi,1,74040.33213032379
LexVar133,stable,woi,1,77614.62494115981
LexVar139,stable,woi,1,78211.00605041457
LexVar139,stable,woi,1,74784.52967459647
LexVar140,stable,woi,1,59363.4615495509
LexVar140,stable,woi,1,72033.43655815576
LexVar146,stable,woi,1,78668.19451640555
LexVar146,stable,woi,1,64416.70105254021
LexVar151,stable,woi,1,74856.08071887844
LexVar151,stable,woi,1,75421.82014069655
LexVar157,stable,woi,1,63005.821964994335
LexVar157,stable,woi,1,76693.95446989666
LexVar163,stable,woi,1,77569.63662944404
LexVar163,stable,woi,1,78207.90444865265
LexVar169,stable,woi,1,75292.41364060073
LexVar169,stable,woi,1,76677.51567030397
LexVar170,stable,woi,1,68684.91970400742
LexVar170,stable,woi,1,77094.38585394026
LexVar175,stable,woi,1,33344.73026799892
