pid,id,order,age,age_m,age_d,trial_index,trial_label,trial_start,center,aoi,x,fix_start,fix_end,duration,pupil,video,img,wav,trial,base_word,condition,frame
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,618
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,619
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,620
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,621
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,622
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,623
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,624
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,625
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,626
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,627
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,628
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,629
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,630
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,631
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,632
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,633
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,634
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,635
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,636
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,637
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,638
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,639
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,640
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,641
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,642
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,643
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,644
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,645
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,646
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,647
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,267.7,618,648,32,858,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,648
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,665,764,994,232,1475,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,764
LVar158,158,4,18.5954825462012,18,18,2,Trial: 2,23418,720,left,665,764,994,232,1475,.,object1.png,bogdum_naturalv.wav,1,bog,naturalv,765
