pid,id,order,age,age_m,age_d,trial_index,trial_label,trial_start,center,aoi,x,fix_start,fix_end,duration,pupil,video,img,wav,trial,base_word,condition,frame
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,46
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,47
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,48
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,49
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,50
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,51
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,52
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,53
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,54
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,55
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,56
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,57
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,58
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,59
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,60
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,61
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,62
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,63
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,64
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,65
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,66
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,67
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,68
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,69
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,70
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,71
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,72
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,73
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,74
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,75
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,76
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,77
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,78
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,79
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,80
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,81
