frame,pupil
1,856
2,856
3,856
4,856
5,856
6,856
7,856
8,856
9,856
10,856
11,856
12,856
13,856
14,856
15,856
16,856
17,856
18,856
19,856
20,856
21,856
22,856
23,856
24,856
25,856
26,856
27,856
28,856
29,856
30,856
31,856
32,856
33,856
34,856
35,856
36,856
37,856
38,856
39,856
40,856
41,856
42,856
43,856
44,856
45,856
46,856
47,856
48,856
49,856
50,856
51,856
52,856
53,856
54,856
55,856
56,856
57,856
58,856
59,856
60,856
61,856
62,856
63,856
64,856
65,856
66,856
67,856
68,856
69,856
70,856
71,856
72,856
73,856
74,856
75,856
76,856
77,856
78,856
79,856
80,856
81,856
82,856
83,856
84,856
85,856
86,856
87,856
88,856
89,856
90,856
91,856
92,856
93,856
94,856
95,856
96,856
97,856
98,856
99,856
100,856
101,856
102,856
103,856
104,856
105,856
106,856
107,856
108,856
109,856
110,856
111,856
112,856
113,856
114,856
115,856
116,856
117,856
118,856
119,856
120,856
121,856
122,856
123,856
124,856
125,856
126,856
127,856
128,856
129,856
130,856
131,856
132,856
133,856
134,856
135,856
136,856
137,856
138,856
139,856
140,856
141,856
142,856
143,856
144,856
145,856
146,856
147,856
148,856
149,856
150,856
151,856
152,856
153,856
154,856
155,856
156,856
157,856
158,856
159,856
160,856
161,856
162,856
163,856
164,856
165,856
166,856
167,856
168,856
169,856
170,856
171,856
172,856
173,856
174,856
175,856
176,856
177,856
178,856
179,856
180,856
181,856
182,856
183,856
184,856
185,856
186,856
187,856
188,856
189,856
190,856
191,856
192,856
193,856
194,856
195,856
196,856
197,856
198,856
199,856
200,856
201,856
202,856
203,856
204,856
205,856
206,856
207,856
208,856
209,856
210,856
211,856
212,856
213,856
214,884
215,884
216,884
217,884
218,884
219,884
220,884
221,884
222,884
223,884
224,884
225,884
226,884
227,884
228,884
229,884
230,884
231,884
232,884
233,884
234,884
235,884
236,884
237,884
238,884
239,884
240,884
241,884
242,884
243,884
244,884
245,884
246,884
247,884
248,884
249,884
250,884
251,884
252,884
253,884
254,884
255,884
256,884
257,884
258,884
259,884
260,884
261,884
262,884
263,884
264,884
265,884
266,884
267,884
268,884
269,884
270,884
271,884
272,884
273,884
274,884
275,884
276,884
277,884
278,884
279,884
280,884
281,884
282,884
283,884
284,884
285,884
286,884
287,884
288,884
289,884
290,884
291,884
292,884
293,884
294,884
295,884
296,884
297,884
298,884
299,884
300,884
301,884
302,884
303,884
304,884
305,884
306,884
307,884
308,884
309,884
310,884
311,884
312,884
313,884
314,884
315,884
316,884
317,884
318,884
319,884
320,884
321,884
322,884
323,884
324,884
325,884
326,884
327,884
328,884
329,884
330,884
331,884
332,884
333,884
334,884
335,884
336,884
337,884
338,884
339,884
340,884
341,884
342,884
343,884
344,884
345,884
346,884
347,884
348,884
349,884
350,884
351,884
352,884
353,884
354,884
355,884
356,884
357,884
358,884
359,884
360,884
361,884
362,884
363,884
364,884
365,884
366,884
367,884
368,884
369,884
370,884
371,884
372,884
373,884
374,884
375,884
376,884
377,884
378,884
379,884
380,884
381,884
382,884
383,884
384,884
385,884
386,884
387,884
388,884
389,884
390,884
391,884
392,884
393,884
394,884
395,884
396,884
397,884
398,884
399,884
400,884
401,884
402,884
403,884
404,884
405,884
406,884
407,884
408,884
409,884
410,884
411,884
412,884
413,884
414,884
415,884
416,884
417,884
418,884
419,884
420,884
421,884
422,884
423,884
424,884
425,884
426,884
427,884
428,884
429,884
430,884
431,884
432,884
433,884
434,884
435,884
436,884
437,884
438,884
439,884
440,884
441,884
442,884
443,884
444,884
445,884
446,884
447,884
448,884
449,884
450,884
451,884
452,884
453,884
454,884
455,884
456,884
457,884
458,884
459,884
460,884
461,884
462,884
463,884
464,884
465,884
466,884
467,884
468,884
469,884
470,884
471,884
472,884
473,884
474,884
475,884
476,884
477,884
478,884
479,884
480,884
481,884
482,884
483,884
484,884
485,884
486,884
487,884
488,884
489,884
490,884
491,884
492,884
493,884
494,884
495,884
496,884
497,884
498,884
499,884
500,884
501,884
502,884
503,884
504,884
505,884
506,884
507,805
508,805
509,805
510,805
511,805
512,805
513,805
514,805
515,805
516,805
517,805
518,805
519,805
520,805
521,805
522,805
523,805
524,805
525,805
526,805
527,805
528,805
529,805
530,805
531,805
532,805
533,805
534,805
535,805
536,805
537,805
538,805
539,805
540,805
541,805
542,805
543,805
544,805
545,805
546,805
547,805
548,805
549,805
550,805
551,805
552,805
553,805
554,805
555,805
556,805
557,805
558,805
559,805
560,805
561,805
562,805
563,805
564,805
565,805
566,805
567,805
568,805
