RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_ADJUSTED	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_BUTTON_0_PRESS	CURRENT_FIX_BUTTON_1_PRESS	CURRENT_FIX_BUTTON_2_PRESS	CURRENT_FIX_BUTTON_3_PRESS	CURRENT_FIX_BUTTON_4_PRESS	CURRENT_FIX_BUTTON_5_PRESS	CURRENT_FIX_BUTTON_6_PRESS	CURRENT_FIX_BUTTON_7_PRESS	CURRENT_FIX_BUTTON_8_PRESS	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_END_OTHER	CURRENT_FIX_INDEX	CURRENT_FIX_INPUT_EVENTS	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_INTEREST_AREA_DATA	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_FIX_COUNT	CURRENT_FIX_INTEREST_AREA_GROUP	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_INDEX	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_INTEREST_AREA_PIXEL_AREA	CURRENT_FIX_INTEREST_AREA_RUN_ID	CURRENT_FIX_INTEREST_AREA_X_OFFSET	CURRENT_FIX_INTEREST_AREA_Y_OFFSET	CURRENT_FIX_IS_RT_END	CURRENT_FIX_LABEL	CURRENT_FIX_MSG_COUNT	CURRENT_FIX_MSG_TEXT_1	CURRENT_FIX_MSG_TIME_1	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_PUPIL	CURRENT_FIX_REFIX_INTEREST_AREA	CURRENT_FIX_REFIX_PREV_INTEREST_AREA	CURRENT_FIX_RUN_DWELL_TIME	CURRENT_FIX_RUN_INDEX	CURRENT_FIX_RUN_SIZE	CURRENT_FIX_START	CURRENT_FIX_START_OTHER	CURRENT_FIX_TRIAL_SPAN	CURRENT_FIX_X	CURRENT_FIX_X_OTHER	CURRENT_FIX_X_RESOLUTION	CURRENT_FIX_Y	CURRENT_FIX_Y_OTHER	CURRENT_FIX_Y_RESOLUTION	DATA_FILE	EYE_USED	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	LAST_BUTTON_PRESSED	LAST_BUTTON_PRESSED_TIME	LAST_BUTTON_RELEASED	LAST_BUTTON_RELEASED_TIME	LAST_BUTTON_TIME	NEXT_FIX_ANGLE	NEXT_FIX_BLINK_AROUND	NEXT_FIX_DIRECTION	NEXT_FIX_DISTANCE	NEXT_FIX_DURATION	NEXT_FIX_END	NEXT_FIX_END_OTHER	NEXT_FIX_INPUT_EVENTS	NEXT_FIX_INTEREST_AREAS	NEXT_FIX_INTEREST_AREA_DATA	NEXT_FIX_INTEREST_AREA_DWELL_TIME	NEXT_FIX_INTEREST_AREA_FIX_COUNT	NEXT_FIX_INTEREST_AREA_GROUP	NEXT_FIX_INTEREST_AREA_ID	NEXT_FIX_INTEREST_AREA_INDEX	NEXT_FIX_INTEREST_AREA_LABEL	NEXT_FIX_INTEREST_AREA_PIXEL_AREA	NEXT_FIX_INTEREST_AREA_RUN_ID	NEXT_FIX_IS_RT_END	NEXT_FIX_LABEL	NEXT_FIX_MSG_COUNT	NEXT_FIX_MSG_TEXT_1	NEXT_FIX_MSG_TIME_1	NEXT_FIX_NEAREST_INTEREST_AREA	NEXT_FIX_NEAREST_INTEREST_AREA_DISTANCE	NEXT_FIX_NEAREST_INTEREST_AREA_LABEL	NEXT_FIX_PUPIL	NEXT_FIX_RUN_DWELL_TIME	NEXT_FIX_RUN_INDEX	NEXT_FIX_RUN_SIZE	NEXT_FIX_START	NEXT_FIX_START_OTHER	NEXT_FIX_TRIAL_SPAN	NEXT_FIX_X	NEXT_FIX_X_OTHER	NEXT_FIX_X_RESOLUTION	NEXT_FIX_Y	NEXT_FIX_Y_OTHER	NEXT_FIX_Y_RESOLUTION	NEXT_SAC_AMPLITUDE	NEXT_SAC_ANGLE	NEXT_SAC_AVG_VELOCITY	NEXT_SAC_BLINK_DURATION	NEXT_SAC_BLINK_END	NEXT_SAC_BLINK_START	NEXT_SAC_CONTAINS_BLINK	NEXT_SAC_DIRECTION	NEXT_SAC_DURATION	NEXT_SAC_END_INTEREST_AREAS	NEXT_SAC_END_INTEREST_AREA_ID	NEXT_SAC_END_INTEREST_AREA_INDEX	NEXT_SAC_END_INTEREST_AREA_LABEL	NEXT_SAC_END_TIME	NEXT_SAC_END_X	NEXT_SAC_END_X_RESOLUTION	NEXT_SAC_END_Y	NEXT_SAC_END_Y_RESOLUTION	NEXT_SAC_INDEX	NEXT_SAC_INPUT_EVENTS	NEXT_SAC_IS_RT_END	NEXT_SAC_LABEL	NEXT_SAC_MSG_COUNT	NEXT_SAC_MSG_TEXT_1	NEXT_SAC_MSG_TIME_1	NEXT_SAC_NEAREST_END_INTEREST_AREA	NEXT_SAC_NEAREST_END_INTEREST_AREA_LABEL	NEXT_SAC_NEAREST_START_INTEREST_AREA	NEXT_SAC_NEAREST_START_INTEREST_AREA_LABEL	NEXT_SAC_PEAK_VELOCITY	NEXT_SAC_START_INTEREST_AREAS	NEXT_SAC_START_INTEREST_AREA_ID	NEXT_SAC_START_INTEREST_AREA_INDEX	NEXT_SAC_START_INTEREST_AREA_LABEL	NEXT_SAC_START_TIME	NEXT_SAC_START_X	NEXT_SAC_START_X_RESOLUTION	NEXT_SAC_START_Y	NEXT_SAC_START_Y_RESOLUTION	PREVIOUS_FIX_ANGLE	PREVIOUS_FIX_BLINK_AROUND	PREVIOUS_FIX_DIRECTION	PREVIOUS_FIX_DISTANCE	PREVIOUS_FIX_DURATION	PREVIOUS_FIX_END	PREVIOUS_FIX_END_OTHER	PREVIOUS_FIX_INPUT_EVENTS	PREVIOUS_FIX_INTEREST_AREAS	PREVIOUS_FIX_INTEREST_AREA_DATA	PREVIOUS_FIX_INTEREST_AREA_DWELL_TIME	PREVIOUS_FIX_INTEREST_AREA_FIX_COUNT	PREVIOUS_FIX_INTEREST_AREA_GROUP	PREVIOUS_FIX_INTEREST_AREA_ID	PREVIOUS_FIX_INTEREST_AREA_INDEX	PREVIOUS_FIX_INTEREST_AREA_LABEL	PREVIOUS_FIX_INTEREST_AREA_PIXEL_AREA	PREVIOUS_FIX_INTEREST_AREA_RUN_ID	PREVIOUS_FIX_IS_RT_END	PREVIOUS_FIX_LABEL	PREVIOUS_FIX_MSG_COUNT	PREVIOUS_FIX_MSG_TEXT_1	PREVIOUS_FIX_MSG_TIME_1	PREVIOUS_FIX_NEAREST_INTEREST_AREA	PREVIOUS_FIX_NEAREST_INTEREST_AREA_DISTANCE	PREVIOUS_FIX_NEAREST_INTEREST_AREA_LABEL	PREVIOUS_FIX_PUPIL	PREVIOUS_FIX_RUN_DWELL_TIME	PREVIOUS_FIX_RUN_INDEX	PREVIOUS_FIX_RUN_SIZE	PREVIOUS_FIX_START	PREVIOUS_FIX_START_OTHER	PREVIOUS_FIX_TRIAL_SPAN	PREVIOUS_FIX_X	PREVIOUS_FIX_X_OTHER	PREVIOUS_FIX_X_RESOLUTION	PREVIOUS_FIX_Y	PREVIOUS_FIX_Y_OTHER	PREVIOUS_FIX_Y_RESOLUTION	PREVIOUS_SAC_AMPLITUDE	PREVIOUS_SAC_ANGLE	PREVIOUS_SAC_AVG_VELOCITY	PREVIOUS_SAC_BLINK_DURATION	PREVIOUS_SAC_BLINK_END	PREVIOUS_SAC_BLINK_START	PREVIOUS_SAC_CONTAINS_BLINK	PREVIOUS_SAC_DIRECTION	PREVIOUS_SAC_DURATION	PREVIOUS_SAC_END_INTEREST_AREAS	PREVIOUS_SAC_END_INTEREST_AREA_ID	PREVIOUS_SAC_END_INTEREST_AREA_INDEX	PREVIOUS_SAC_END_INTEREST_AREA_LABEL	PREVIOUS_SAC_END_TIME	PREVIOUS_SAC_END_X	PREVIOUS_SAC_END_X_RESOLUTION	PREVIOUS_SAC_END_Y	PREVIOUS_SAC_END_Y_RESOLUTION	PREVIOUS_SAC_INDEX	PREVIOUS_SAC_INPUT_EVENTS	PREVIOUS_SAC_IS_RT_END	PREVIOUS_SAC_LABEL	PREVIOUS_SAC_MSG_COUNT	PREVIOUS_SAC_MSG_TEXT_1	PREVIOUS_SAC_MSG_TIME_1	PREVIOUS_SAC_NEAREST_END_INTEREST_AREA	PREVIOUS_SAC_NEAREST_END_INTEREST_AREA_LABEL	PREVIOUS_SAC_NEAREST_START_INTEREST_AREA	PREVIOUS_SAC_NEAREST_START_INTEREST_AREA_LABEL	PREVIOUS_SAC_PEAK_VELOCITY	PREVIOUS_SAC_START_INTEREST_AREAS	PREVIOUS_SAC_START_INTEREST_AREA_ID	PREVIOUS_SAC_START_INTEREST_AREA_INDEX	PREVIOUS_SAC_START_INTEREST_AREA_LABEL	PREVIOUS_SAC_START_TIME	PREVIOUS_SAC_START_X	PREVIOUS_SAC_START_X_RESOLUTION	PREVIOUS_SAC_START_Y	PREVIOUS_SAC_START_Y_RESOLUTION	TRIAL_FIXATION_TOTAL	TRIAL_LABEL	TRIAL_START_TIME	VIDEO_FRAME_INDEX_END	VIDEO_FRAME_INDEX_START	VIDEO_NAME_END	VIDEO_NAME_START	__index__1	__index__1	center	imgfile	videofile	wavfilename
LVar176	1	false	AFTER	.	.	.	.	.	.	.	.	.	168	176	.	1	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 10 ms	0	.	.	.	.	.	2131.00	.	.	.	.	.	10	.	SPAN_NONE	928.10	.	53.85	550.00	.	41.95	LVar176.edf	LEFT	true	36529	.	Full Trial Period	true	34148	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4.81	180.00	.	2194	2380	188	true	LEFT	2204	[ ]	.	.	.	2380	679.00	50.90	550.00	39.80	1	[]	false	Saccade: 178 ms	1	BLANK_SCREEN	2379	.	.	.	.	0.00	[ ]	.	.	.	178	925.50	52.50	550.00	40.90	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1	Trial: 1	34148	.	.	.	.	.	.	.	.	.	ITI
LVar176	2	false	BOTH	.	.	.	.	.	.	.	.	.	72	4294	.	1	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 4224 ms	0	.	.	1	2.63	center	914.00	.	.	.	.	.	4224	.	SPAN_NONE	798.30	.	54.00	550.00	.	42.30	LVar176.edf	LEFT	true	56679	.	Full Trial Period	true	36610	.	.	.	.	.	180.00	BOTH	LEFT	0.75	2426	6894	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4470 ms	0	.	.	1	2.33	center	1160.00	.	.	.	4470	.	SPAN_NONE	756.10	.	58.40	550.00	.	45.65	0.09	0.00	70.36	124	4454	4332	true	.	174	[ ]	.	.	.	4468	777.70	56.80	550.00	44.40	2	[]	false	Saccade: 4296 ms	1	Audio started	4301	1	center	1	center	138.81	[ ]	.	.	.	4296	772.50	54.50	550.00	42.70	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	4.11	4208	4208	2	true	DOWN	4222	[ ]	.	.	.	4222	814.20	53.50	550.00	41.90	1	[]	false	Saccade: 2 ms	0	.	.	1	center	.	.	8.43	[ ]	.	.	.	2	.	50.90	.	39.80	5	Trial: 2	36610	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_naturalv.wav
LVar176	2	false	BOTH	.	.	.	.	.	.	.	.	.	2426	6894	.	2	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 4470 ms	0	.	.	1	2.33	center	1160.00	.	.	.	.	.	4470	.	SPAN_NONE	756.10	.	58.40	550.00	.	45.65	LVar176.edf	LEFT	true	56679	.	Full Trial Period	true	36610	.	.	.	.	.	180.00	BEFORE	.	0.00	3616	12066	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 8452 ms	0	.	.	1	2.33	center	1208.00	.	.	.	8452	.	SPAN_NONE	756.00	.	59.85	550.00	.	46.75	0.15	180.00	494.37	1344	8430	7088	true	.	1556	[ ]	.	.	.	8450	785.00	60.80	550.00	47.50	3	[]	false	Saccade: 6896 ms	0	.	.	1	center	1	center	1933.05	[ ]	.	.	.	6896	794.00	59.90	550.00	46.80	0.00	BOTH	RIGHT	0.75	72	4294	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4224 ms	0	.	.	1	2.63	center	914.00	.	.	.	4224	.	SPAN_NONE	798.30	.	54.00	550.00	.	42.30	0.09	0.00	70.36	124	4454	4332	true	.	174	[ ]	.	.	.	4468	777.70	56.80	550.00	44.40	2	[]	false	Saccade: 4296 ms	1	Audio started	4301	1	center	1	center	138.81	[ ]	.	.	.	4296	772.50	54.50	550.00	42.70	5	Trial: 2	36610	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_naturalv.wav
LVar176	2	false	BEFORE	.	.	.	.	.	.	.	.	.	3616	12066	.	3	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 8452 ms	0	.	.	1	2.33	center	1208.00	.	.	.	.	.	8452	.	SPAN_NONE	756.00	.	59.85	550.00	.	46.75	LVar176.edf	LEFT	true	56679	.	Full Trial Period	true	36610	.	.	.	.	.	180.00	NONE	LEFT	1.02	366	12448	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 12084 ms	0	.	.	1	2.28	center	1140.00	.	.	.	12084	.	SPAN_NONE	695.70	.	58.80	550.00	.	45.90	0.59	180.00	37.25	.	.	.	false	LEFT	16	[ ]	.	.	.	12082	700.40	58.90	550.00	46.00	4	[]	false	Saccade: 12068 ms	0	.	.	1	center	1	center	44.70	[ ]	.	.	.	12068	735.10	58.90	550.00	46.00	0.00	BOTH	.	0.00	2426	6894	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4470 ms	0	.	.	1	2.33	center	1160.00	.	.	.	4470	.	SPAN_NONE	756.10	.	58.40	550.00	.	45.65	0.15	180.00	494.37	1344	8430	7088	true	.	1556	[ ]	.	.	.	8450	785.00	60.80	550.00	47.50	3	[]	false	Saccade: 6896 ms	0	.	.	1	center	1	center	1933.05	[ ]	.	.	.	6896	794.00	59.90	550.00	46.80	5	Trial: 2	36610	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_naturalv.wav
LVar176	2	false	NONE	.	.	.	.	.	.	.	.	.	366	12448	.	4	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 12084 ms	0	.	.	1	2.28	center	1140.00	.	.	.	.	.	12084	.	SPAN_NONE	695.70	.	58.80	550.00	.	45.90	LVar176.edf	LEFT	true	56679	.	Full Trial Period	true	36610	.	.	.	.	.	0.00	NONE	RIGHT	0.61	7598	20066	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 12470 ms	1	Audio ended	18579	1	2.25	center	1308.00	.	.	.	12470	.	SPAN_NONE	731.30	.	58.20	550.00	.	45.45	0.88	0.00	44.10	.	.	.	false	RIGHT	20	[ ]	.	.	.	12468	755.20	58.60	550.00	45.80	5	[]	false	Saccade: 12450 ms	0	.	.	1	center	1	center	55.56	[ ]	.	.	.	12450	703.30	58.70	550.00	45.80	0.00	BEFORE	RIGHT	1.02	3616	12066	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 8452 ms	0	.	.	1	2.33	center	1208.00	.	.	.	8452	.	SPAN_NONE	756.00	.	59.85	550.00	.	46.75	0.59	180.00	37.25	.	.	.	false	LEFT	16	[ ]	.	.	.	12082	700.40	58.90	550.00	46.00	4	[]	false	Saccade: 12068 ms	0	.	.	1	center	1	center	44.70	[ ]	.	.	.	12068	735.10	58.90	550.00	46.00	5	Trial: 2	36610	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_naturalv.wav
LVar176	2	false	NONE	.	.	.	.	.	.	.	.	.	7598	20066	.	5	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 12470 ms	1	Audio ended	18579	1	2.25	center	1308.00	.	.	.	.	.	12470	.	SPAN_NONE	731.30	.	58.20	550.00	.	45.45	LVar176.edf	LEFT	true	56679	.	Full Trial Period	true	36610	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	180.00	NONE	LEFT	0.61	366	12448	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 12084 ms	0	.	.	1	2.28	center	1140.00	.	.	.	12084	.	SPAN_NONE	695.70	.	58.80	550.00	.	45.90	0.88	0.00	44.10	.	.	.	false	RIGHT	20	[ ]	.	.	.	12468	755.20	58.60	550.00	45.80	5	[]	false	Saccade: 12450 ms	0	.	.	1	center	1	center	55.56	[ ]	.	.	.	12450	703.30	58.70	550.00	45.80	5	Trial: 2	36610	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_naturalv.wav
LVar176	5	false	BOTH	.	.	.	.	.	.	.	.	.	40	4200	.	1	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 4162 ms	0	.	.	1	2.85	center	1141.00	.	.	.	.	.	4162	.	SPAN_NONE	610.00	.	58.95	550.00	.	46.00	LVar176.edf	LEFT	true	79021	.	Full Trial Period	true	59026	.	.	.	.	.	180.00	BEFORE	LEFT	1.31	60	4290	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4232 ms	0	.	.	2	3.63	left	1193.00	.	.	.	4232	.	SPAN_NONE	532.60	.	59.30	550.00	.	46.25	0.01	180.00	2.05	6	4216	4212	true	.	30	[ ]	.	.	.	4230	529.30	59.10	550.00	46.10	2	[]	false	Saccade: 4202 ms	1	Audio started	4210	2	left	2	left	2.29	[ ]	.	.	.	4202	529.90	59.00	550.00	46.10	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	27.32	4146	4146	2	true	DOWN	4160	[ ]	.	.	.	4160	673.30	58.90	550.00	46.00	1	[]	false	Saccade: 2 ms	0	.	.	1	center	.	.	36.15	[ ]	.	.	.	2	.	57.90	.	44.80	22	Trial: 5	59026	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object2.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/tanzer_naturalv.wav
LVar176	5	false	BEFORE	.	.	.	.	.	.	.	.	.	60	4290	.	2	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 4232 ms	0	.	.	2	3.63	left	1193.00	.	.	.	.	.	4232	.	SPAN_NONE	532.60	.	59.30	550.00	.	46.25	LVar176.edf	LEFT	true	79021	.	Full Trial Period	true	59026	.	.	.	.	.	180.00	AFTER	LEFT	1.18	86	4394	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4310 ms	0	.	.	2	2.76	left	1161.00	.	.	.	4310	.	SPAN_NONE	461.90	.	60.40	550.00	.	47.00	0.85	180.00	48.07	.	.	.	false	LEFT	18	[ ]	.	.	.	4308	468.10	60.00	550.00	46.70	3	[]	false	Saccade: 4292 ms	0	.	.	2	left	2	left	61.57	[ ]	.	.	.	4292	519.10	59.60	550.00	46.40	0.00	BOTH	RIGHT	1.31	40	4200	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4162 ms	0	.	.	1	2.85	center	1141.00	.	.	.	4162	.	SPAN_NONE	610.00	.	58.95	550.00	.	46.00	0.01	180.00	2.05	6	4216	4212	true	.	30	[ ]	.	.	.	4230	529.30	59.10	550.00	46.10	2	[]	false	Saccade: 4202 ms	1	Audio started	4210	2	left	2	left	2.29	[ ]	.	.	.	4202	529.90	59.00	550.00	46.10	22	Trial: 5	59026	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object2.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/tanzer_naturalv.wav
LVar176	5	false	AFTER	.	.	.	.	.	.	.	.	.	86	4394	.	3	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 4310 ms	0	.	.	2	2.76	left	1161.00	.	.	.	.	.	4310	.	SPAN_NONE	461.90	.	60.40	550.00	.	47.00	LVar176.edf	LEFT	true	79021	.	Full Trial Period	true	59026	.	.	.	.	.	180.00	BOTH	.	0.23	212	4942	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4732 ms	0	.	.	2	2.62	left	958.00	.	.	.	4732	.	SPAN_NONE	448.00	.	61.45	550.00	.	47.90	11.01	180.00	1.78	312	4716	4406	true	LEFT	336	[ ]	.	.	.	4730	470.00	61.30	550.00	47.70	4	[]	false	Saccade: 4396 ms	0	.	.	2	left	3	right	2.04	[ ]	.	.	.	4396	1146.40	60.80	550.00	47.40	0.00	BEFORE	RIGHT	1.18	60	4290	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4232 ms	0	.	.	2	3.63	left	1193.00	.	.	.	4232	.	SPAN_NONE	532.60	.	59.30	550.00	.	46.25	0.85	180.00	48.07	.	.	.	false	LEFT	18	[ ]	.	.	.	4308	468.10	60.00	550.00	46.70	3	[]	false	Saccade: 4292 ms	0	.	.	2	left	2	left	61.57	[ ]	.	.	.	4292	519.10	59.60	550.00	46.40	22	Trial: 5	59026	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object2.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/tanzer_naturalv.wav
LVar176	5	false	BOTH	.	.	.	.	.	.	.	.	.	212	4942	.	4	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 4732 ms	0	.	.	2	2.62	left	958.00	.	.	.	.	.	4732	.	SPAN_NONE	448.00	.	61.45	550.00	.	47.90	LVar176.edf	LEFT	true	79021	.	Full Trial Period	true	59026	.	.	.	.	.	0.00	BEFORE	RIGHT	2.76	174	5258	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 5086 ms	0	.	.	1	2.78	center	1614.00	.	.	.	5086	.	SPAN_NONE	616.90	.	61.15	550.00	.	47.75	26.83	180.00	683.77	80	5032	4954	true	LEFT	142	[ ]	.	.	.	5084	698.60	61.10	550.00	47.70	5	[]	false	Saccade: 4944 ms	0	.	.	1	center	3	right	2104.95	[ ]	.	.	.	4944	2563.40	61.50	550.00	48.00	0.00	AFTER	.	0.23	86	4394	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4310 ms	0	.	.	2	2.76	left	1161.00	.	.	.	4310	.	SPAN_NONE	461.90	.	60.40	550.00	.	47.00	11.01	180.00	1.78	312	4716	4406	true	LEFT	336	[ ]	.	.	.	4730	470.00	61.30	550.00	47.70	4	[]	false	Saccade: 4396 ms	0	.	.	2	left	3	right	2.04	[ ]	.	.	.	4396	1146.40	60.80	550.00	47.40	22	Trial: 5	59026	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object2.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/tanzer_naturalv.wav
