RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_ADJUSTED	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_BUTTON_0_PRESS	CURRENT_FIX_BUTTON_1_PRESS	CURRENT_FIX_BUTTON_2_PRESS	CURRENT_FIX_BUTTON_3_PRESS	CURRENT_FIX_BUTTON_4_PRESS	CURRENT_FIX_BUTTON_5_PRESS	CURRENT_FIX_BUTTON_6_PRESS	CURRENT_FIX_BUTTON_7_PRESS	CURRENT_FIX_BUTTON_8_PRESS	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_END_OTHER	CURRENT_FIX_INDEX	CURRENT_FIX_INPUT_EVENTS	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_INTEREST_AREA_DATA	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_FIX_COUNT	CURRENT_FIX_INTEREST_AREA_GROUP	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_INDEX	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_INTEREST_AREA_PIXEL_AREA	CURRENT_FIX_INTEREST_AREA_RUN_ID	CURRENT_FIX_INTEREST_AREA_X_OFFSET	CURRENT_FIX_INTEREST_AREA_Y_OFFSET	CURRENT_FIX_IS_RT_END	CURRENT_FIX_LABEL	CURRENT_FIX_MSG_COUNT	CURRENT_FIX_MSG_TEXT_1	CURRENT_FIX_MSG_TIME_1	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_PUPIL	CURRENT_FIX_REFIX_INTEREST_AREA	CURRENT_FIX_REFIX_PREV_INTEREST_AREA	CURRENT_FIX_RUN_DWELL_TIME	CURRENT_FIX_RUN_INDEX	CURRENT_FIX_RUN_SIZE	CURRENT_FIX_START	CURRENT_FIX_START_OTHER	CURRENT_FIX_TRIAL_SPAN	CURRENT_FIX_X	CURRENT_FIX_X_OTHER	CURRENT_FIX_X_RESOLUTION	CURRENT_FIX_Y	CURRENT_FIX_Y_OTHER	CURRENT_FIX_Y_RESOLUTION	DATA_FILE	EYE_USED	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	LAST_BUTTON_PRESSED	LAST_BUTTON_PRESSED_TIME	LAST_BUTTON_RELEASED	LAST_BUTTON_RELEASED_TIME	LAST_BUTTON_TIME	NEXT_FIX_ANGLE	NEXT_FIX_BLINK_AROUND	NEXT_FIX_DIRECTION	NEXT_FIX_DISTANCE	NEXT_FIX_DURATION	NEXT_FIX_END	NEXT_FIX_END_OTHER	NEXT_FIX_INPUT_EVENTS	NEXT_FIX_INTEREST_AREAS	NEXT_FIX_INTEREST_AREA_DATA	NEXT_FIX_INTEREST_AREA_DWELL_TIME	NEXT_FIX_INTEREST_AREA_FIX_COUNT	NEXT_FIX_INTEREST_AREA_GROUP	NEXT_FIX_INTEREST_AREA_ID	NEXT_FIX_INTEREST_AREA_INDEX	NEXT_FIX_INTEREST_AREA_LABEL	NEXT_FIX_INTEREST_AREA_PIXEL_AREA	NEXT_FIX_INTEREST_AREA_RUN_ID	NEXT_FIX_IS_RT_END	NEXT_FIX_LABEL	NEXT_FIX_MSG_COUNT	NEXT_FIX_MSG_TEXT_1	NEXT_FIX_MSG_TIME_1	NEXT_FIX_NEAREST_INTEREST_AREA	NEXT_FIX_NEAREST_INTEREST_AREA_DISTANCE	NEXT_FIX_NEAREST_INTEREST_AREA_LABEL	NEXT_FIX_PUPIL	NEXT_FIX_RUN_DWELL_TIME	NEXT_FIX_RUN_INDEX	NEXT_FIX_RUN_SIZE	NEXT_FIX_START	NEXT_FIX_START_OTHER	NEXT_FIX_TRIAL_SPAN	NEXT_FIX_X	NEXT_FIX_X_OTHER	NEXT_FIX_X_RESOLUTION	NEXT_FIX_Y	NEXT_FIX_Y_OTHER	NEXT_FIX_Y_RESOLUTION	NEXT_SAC_AMPLITUDE	NEXT_SAC_ANGLE	NEXT_SAC_AVG_VELOCITY	NEXT_SAC_BLINK_DURATION	NEXT_SAC_BLINK_END	NEXT_SAC_BLINK_START	NEXT_SAC_CONTAINS_BLINK	NEXT_SAC_DIRECTION	NEXT_SAC_DURATION	NEXT_SAC_END_INTEREST_AREAS	NEXT_SAC_END_INTEREST_AREA_ID	NEXT_SAC_END_INTEREST_AREA_INDEX	NEXT_SAC_END_INTEREST_AREA_LABEL	NEXT_SAC_END_TIME	NEXT_SAC_END_X	NEXT_SAC_END_X_RESOLUTION	NEXT_SAC_END_Y	NEXT_SAC_END_Y_RESOLUTION	NEXT_SAC_INDEX	NEXT_SAC_INPUT_EVENTS	NEXT_SAC_IS_RT_END	NEXT_SAC_LABEL	NEXT_SAC_MSG_COUNT	NEXT_SAC_MSG_TEXT_1	NEXT_SAC_MSG_TIME_1	NEXT_SAC_NEAREST_END_INTEREST_AREA	NEXT_SAC_NEAREST_END_INTEREST_AREA_LABEL	NEXT_SAC_NEAREST_START_INTEREST_AREA	NEXT_SAC_NEAREST_START_INTEREST_AREA_LABEL	NEXT_SAC_PEAK_VELOCITY	NEXT_SAC_START_INTEREST_AREAS	NEXT_SAC_START_INTEREST_AREA_ID	NEXT_SAC_START_INTEREST_AREA_INDEX	NEXT_SAC_START_INTEREST_AREA_LABEL	NEXT_SAC_START_TIME	NEXT_SAC_START_X	NEXT_SAC_START_X_RESOLUTION	NEXT_SAC_START_Y	NEXT_SAC_START_Y_RESOLUTION	PREVIOUS_FIX_ANGLE	PREVIOUS_FIX_BLINK_AROUND	PREVIOUS_FIX_DIRECTION	PREVIOUS_FIX_DISTANCE	PREVIOUS_FIX_DURATION	PREVIOUS_FIX_END	PREVIOUS_FIX_END_OTHER	PREVIOUS_FIX_INPUT_EVENTS	PREVIOUS_FIX_INTEREST_AREAS	PREVIOUS_FIX_INTEREST_AREA_DATA	PREVIOUS_FIX_INTEREST_AREA_DWELL_TIME	PREVIOUS_FIX_INTEREST_AREA_FIX_COUNT	PREVIOUS_FIX_INTEREST_AREA_GROUP	PREVIOUS_FIX_INTEREST_AREA_ID	PREVIOUS_FIX_INTEREST_AREA_INDEX	PREVIOUS_FIX_INTEREST_AREA_LABEL	PREVIOUS_FIX_INTEREST_AREA_PIXEL_AREA	PREVIOUS_FIX_INTEREST_AREA_RUN_ID	PREVIOUS_FIX_IS_RT_END	PREVIOUS_FIX_LABEL	PREVIOUS_FIX_MSG_COUNT	PREVIOUS_FIX_MSG_TEXT_1	PREVIOUS_FIX_MSG_TIME_1	PREVIOUS_FIX_NEAREST_INTEREST_AREA	PREVIOUS_FIX_NEAREST_INTEREST_AREA_DISTANCE	PREVIOUS_FIX_NEAREST_INTEREST_AREA_LABEL	PREVIOUS_FIX_PUPIL	PREVIOUS_FIX_RUN_DWELL_TIME	PREVIOUS_FIX_RUN_INDEX	PREVIOUS_FIX_RUN_SIZE	PREVIOUS_FIX_START	PREVIOUS_FIX_START_OTHER	PREVIOUS_FIX_TRIAL_SPAN	PREVIOUS_FIX_X	PREVIOUS_FIX_X_OTHER	PREVIOUS_FIX_X_RESOLUTION	PREVIOUS_FIX_Y	PREVIOUS_FIX_Y_OTHER	PREVIOUS_FIX_Y_RESOLUTION	PREVIOUS_SAC_AMPLITUDE	PREVIOUS_SAC_ANGLE	PREVIOUS_SAC_AVG_VELOCITY	PREVIOUS_SAC_BLINK_DURATION	PREVIOUS_SAC_BLINK_END	PREVIOUS_SAC_BLINK_START	PREVIOUS_SAC_CONTAINS_BLINK	PREVIOUS_SAC_DIRECTION	PREVIOUS_SAC_DURATION	PREVIOUS_SAC_END_INTEREST_AREAS	PREVIOUS_SAC_END_INTEREST_AREA_ID	PREVIOUS_SAC_END_INTEREST_AREA_INDEX	PREVIOUS_SAC_END_INTEREST_AREA_LABEL	PREVIOUS_SAC_END_TIME	PREVIOUS_SAC_END_X	PREVIOUS_SAC_END_X_RESOLUTION	PREVIOUS_SAC_END_Y	PREVIOUS_SAC_END_Y_RESOLUTION	PREVIOUS_SAC_INDEX	PREVIOUS_SAC_INPUT_EVENTS	PREVIOUS_SAC_IS_RT_END	PREVIOUS_SAC_LABEL	PREVIOUS_SAC_MSG_COUNT	PREVIOUS_SAC_MSG_TEXT_1	PREVIOUS_SAC_MSG_TIME_1	PREVIOUS_SAC_NEAREST_END_INTEREST_AREA	PREVIOUS_SAC_NEAREST_END_INTEREST_AREA_LABEL	PREVIOUS_SAC_NEAREST_START_INTEREST_AREA	PREVIOUS_SAC_NEAREST_START_INTEREST_AREA_LABEL	PREVIOUS_SAC_PEAK_VELOCITY	PREVIOUS_SAC_START_INTEREST_AREAS	PREVIOUS_SAC_START_INTEREST_AREA_ID	PREVIOUS_SAC_START_INTEREST_AREA_INDEX	PREVIOUS_SAC_START_INTEREST_AREA_LABEL	PREVIOUS_SAC_START_TIME	PREVIOUS_SAC_START_X	PREVIOUS_SAC_START_X_RESOLUTION	PREVIOUS_SAC_START_Y	PREVIOUS_SAC_START_Y_RESOLUTION	TRIAL_FIXATION_TOTAL	TRIAL_LABEL	TRIAL_START_TIME	VIDEO_FRAME_INDEX_END	VIDEO_FRAME_INDEX_START	VIDEO_NAME_END	VIDEO_NAME_START	__index__1	__index__1	center	imgfile	videofile	wavfilename
LVar174	2	false	NONE	.	.	.	.	.	.	.	.	.	320	328	.	1	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 10 ms	0	.	.	2	3.56	left	963.00	.	.	.	.	.	10	.	SPAN_NONE	496.60	.	50.25	550.00	.	39.05	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	0.00	NONE	RIGHT	3.12	3160	3518	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 360 ms	1	Audio started	1602	1	2.73	center	760.00	.	.	.	360	.	SPAN_NONE	654.60	.	51.10	550.00	.	39.85	2.48	0.00	81.41	.	.	.	false	RIGHT	30	[ ]	.	.	.	358	617.10	50.40	550.00	39.30	1	[]	false	Saccade: 330 ms	0	.	.	1	center	2	left	136.36	[ ]	.	.	.	330	491.90	50.70	550.00	39.40	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar174	2	false	NONE	.	.	.	.	.	.	.	.	.	3160	3518	.	2	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 360 ms	1	Audio started	1602	1	2.73	center	760.00	.	.	.	.	.	360	.	SPAN_NONE	654.60	.	51.10	550.00	.	39.85	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	0.00	NONE	RIGHT	3.60	294	3842	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 3550 ms	0	.	.	1	3.33	center	830.00	.	.	.	3550	.	SPAN_NONE	839.60	.	51.70	550.00	.	40.35	3.00	0.00	100.35	.	.	.	false	RIGHT	30	[ ]	.	.	.	3548	817.70	51.70	550.00	40.30	2	[]	false	Saccade: 3520 ms	0	.	.	1	center	1	center	147.30	[ ]	.	.	.	3520	662.30	51.80	550.00	40.40	180.00	NONE	LEFT	3.12	320	328	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 10 ms	0	.	.	2	3.56	left	963.00	.	.	.	10	.	SPAN_NONE	496.60	.	50.25	550.00	.	39.05	2.48	0.00	81.41	.	.	.	false	RIGHT	30	[ ]	.	.	.	358	617.10	50.40	550.00	39.30	1	[]	false	Saccade: 330 ms	0	.	.	1	center	2	left	136.36	[ ]	.	.	.	330	491.90	50.70	550.00	39.40	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar174	2	false	NONE	.	.	.	.	.	.	.	.	.	294	3842	.	3	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 3550 ms	0	.	.	1	3.33	center	830.00	.	.	.	.	.	3550	.	SPAN_NONE	839.60	.	51.70	550.00	.	40.35	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	180.00	NONE	LEFT	2.83	814	4684	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 3872 ms	0	.	.	1	2.49	center	810.00	.	.	.	3872	.	SPAN_NONE	693.30	.	51.75	550.00	.	40.35	2.48	180.00	88.87	.	.	.	false	LEFT	28	[ ]	.	.	.	3870	712.30	51.80	550.00	40.40	3	[]	false	Saccade: 3844 ms	0	.	.	1	center	1	center	119.48	[ ]	.	.	.	3844	840.80	51.70	550.00	40.40	180.00	NONE	LEFT	3.60	3160	3518	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 360 ms	1	Audio started	1602	1	2.73	center	760.00	.	.	.	360	.	SPAN_NONE	654.60	.	51.10	550.00	.	39.85	3.00	0.00	100.35	.	.	.	false	RIGHT	30	[ ]	.	.	.	3548	817.70	51.70	550.00	40.30	2	[]	false	Saccade: 3520 ms	0	.	.	1	center	1	center	147.30	[ ]	.	.	.	3520	662.30	51.80	550.00	40.40	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar174	2	false	NONE	.	.	.	.	.	.	.	.	.	814	4684	.	4	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 3872 ms	0	.	.	1	2.49	center	810.00	.	.	.	.	.	3872	.	SPAN_NONE	693.30	.	51.75	550.00	.	40.35	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	180.00	NONE	LEFT	1.09	366	5072	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4708 ms	0	.	.	1	2.90	center	726.00	.	.	.	4708	.	SPAN_NONE	636.70	.	51.90	550.00	.	40.45	1.06	180.00	48.21	.	.	.	false	LEFT	22	[ ]	.	.	.	4706	635.50	51.80	550.00	40.40	4	[]	false	Saccade: 4686 ms	0	.	.	1	center	1	center	60.32	[ ]	.	.	.	4686	690.50	51.70	550.00	40.30	0.00	NONE	RIGHT	2.83	294	3842	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 3550 ms	0	.	.	1	3.33	center	830.00	.	.	.	3550	.	SPAN_NONE	839.60	.	51.70	550.00	.	40.35	2.48	180.00	88.87	.	.	.	false	LEFT	28	[ ]	.	.	.	3870	712.30	51.80	550.00	40.40	3	[]	false	Saccade: 3844 ms	0	.	.	1	center	1	center	119.48	[ ]	.	.	.	3844	840.80	51.70	550.00	40.40	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar174	2	false	NONE	.	.	.	.	.	.	.	.	.	366	5072	.	5	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 4708 ms	0	.	.	1	2.90	center	726.00	.	.	.	.	.	4708	.	SPAN_NONE	636.70	.	51.90	550.00	.	40.45	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	0.00	AFTER	RIGHT	1.14	370	5458	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 5090 ms	0	.	.	1	2.48	center	746.00	.	.	.	5090	.	SPAN_NONE	696.00	.	52.10	550.00	.	40.65	0.57	0.00	37.05	.	.	.	false	RIGHT	16	[ ]	.	.	.	5088	683.90	51.90	550.00	40.50	5	[]	false	Saccade: 5074 ms	0	.	.	1	center	1	center	43.11	[ ]	.	.	.	5074	654.30	52.00	550.00	40.50	0.00	NONE	RIGHT	1.09	814	4684	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 3872 ms	0	.	.	1	2.49	center	810.00	.	.	.	3872	.	SPAN_NONE	693.30	.	51.75	550.00	.	40.35	1.06	180.00	48.21	.	.	.	false	LEFT	22	[ ]	.	.	.	4706	635.50	51.80	550.00	40.40	4	[]	false	Saccade: 4686 ms	0	.	.	1	center	1	center	60.32	[ ]	.	.	.	4686	690.50	51.70	550.00	40.30	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar174	2	false	AFTER	.	.	.	.	.	.	.	.	.	370	5458	.	6	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 5090 ms	0	.	.	1	2.48	center	746.00	.	.	.	.	.	5090	.	SPAN_NONE	696.00	.	52.10	550.00	.	40.65	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	0.00	BEFORE	RIGHT	4.91	158	6942	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 6786 ms	0	.	.	3	3.43	right	1018.00	.	.	.	6786	.	SPAN_NONE	952.40	.	52.35	550.00	.	40.85	5.02	0.00	294.98	1266	6764	5500	true	RIGHT	1326	[ ]	.	.	.	6784	959.40	53.10	550.00	41.50	6	[]	false	Saccade: 5460 ms	0	.	.	3	right	1	center	669.53	[ ]	.	.	.	5460	694.60	52.30	550.00	40.80	180.00	NONE	LEFT	1.14	366	5072	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 4708 ms	0	.	.	1	2.90	center	726.00	.	.	.	4708	.	SPAN_NONE	636.70	.	51.90	550.00	.	40.45	0.57	0.00	37.05	.	.	.	false	RIGHT	16	[ ]	.	.	.	5088	683.90	51.90	550.00	40.50	5	[]	false	Saccade: 5074 ms	0	.	.	1	center	1	center	43.11	[ ]	.	.	.	5074	654.30	52.00	550.00	40.50	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar174	2	false	BEFORE	.	.	.	.	.	.	.	.	.	158	6942	.	7	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 6786 ms	0	.	.	3	3.43	right	1018.00	.	.	.	.	.	6786	.	SPAN_NONE	952.40	.	52.35	550.00	.	40.85	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	180.00	NONE	LEFT	5.25	1538	8520	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 6984 ms	0	.	.	1	2.56	center	847.00	.	.	.	6984	.	SPAN_NONE	677.90	.	52.20	550.00	.	40.70	5.21	180.00	129.26	.	.	.	false	LEFT	40	[ ]	.	.	.	6982	678.60	51.70	550.00	40.30	7	[]	false	Saccade: 6944 ms	0	.	.	1	center	3	right	235.40	[ ]	.	.	.	6944	948.00	51.70	550.00	40.30	180.00	AFTER	LEFT	4.91	370	5458	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 5090 ms	0	.	.	1	2.48	center	746.00	.	.	.	5090	.	SPAN_NONE	696.00	.	52.10	550.00	.	40.65	5.02	0.00	294.98	1266	6764	5500	true	RIGHT	1326	[ ]	.	.	.	6784	959.40	53.10	550.00	41.50	6	[]	false	Saccade: 5460 ms	0	.	.	3	right	1	center	669.53	[ ]	.	.	.	5460	694.60	52.30	550.00	40.80	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar174	2	false	NONE	.	.	.	.	.	.	.	.	.	1538	8520	.	8	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 6984 ms	0	.	.	1	2.56	center	847.00	.	.	.	.	.	6984	.	SPAN_NONE	677.90	.	52.20	550.00	.	40.70	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	0.00	NONE	RIGHT	11.95	624	9200	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 8578 ms	0	.	.	3	5.01	right	944.00	.	.	.	8578	.	SPAN_NONE	1311.10	.	53.75	550.00	.	41.50	11.42	0.00	206.27	.	.	.	false	RIGHT	56	[ ]	.	.	.	8576	1278.00	53.60	550.00	41.40	8	[]	false	Saccade: 8522 ms	0	.	.	3	right	1	center	347.74	[ ]	.	.	.	8522	671.10	52.70	550.00	41.10	0.00	BEFORE	RIGHT	5.25	158	6942	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 6786 ms	0	.	.	3	3.43	right	1018.00	.	.	.	6786	.	SPAN_NONE	952.40	.	52.35	550.00	.	40.85	5.21	180.00	129.26	.	.	.	false	LEFT	40	[ ]	.	.	.	6982	678.60	51.70	550.00	40.30	7	[]	false	Saccade: 6944 ms	0	.	.	1	center	3	right	235.40	[ ]	.	.	.	6944	948.00	51.70	550.00	40.30	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar174	2	false	NONE	.	.	.	.	.	.	.	.	.	624	9200	.	9	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 8578 ms	0	.	.	3	5.01	right	944.00	.	.	.	.	.	8578	.	SPAN_NONE	1311.10	.	53.75	550.00	.	41.50	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	180.00	NONE	LEFT	12.67	1698	10980	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 9284 ms	0	.	.	1	2.95	center	861.00	.	.	.	9284	.	SPAN_NONE	632.10	.	53.40	550.00	.	41.60	12.79	180.00	157.16	.	.	.	false	LEFT	82	[ ]	.	.	.	9282	623.20	52.90	550.00	41.20	9	[]	false	Saccade: 9202 ms	0	.	.	1	center	3	right	244.24	[ ]	.	.	.	9202	1306.10	53.90	550.00	41.60	180.00	NONE	LEFT	11.95	1538	8520	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 6984 ms	0	.	.	1	2.56	center	847.00	.	.	.	6984	.	SPAN_NONE	677.90	.	52.20	550.00	.	40.70	11.42	0.00	206.27	.	.	.	false	RIGHT	56	[ ]	.	.	.	8576	1278.00	53.60	550.00	41.40	8	[]	false	Saccade: 8522 ms	0	.	.	3	right	1	center	347.74	[ ]	.	.	.	8522	671.10	52.70	550.00	41.10	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
LVar174	2	false	NONE	.	.	.	.	.	.	.	.	.	1698	10980	.	10	[]	[ ]	.	.	.	.	.	.	.	.	.	.	.	false	Fixation: 9284 ms	0	.	.	1	2.95	center	861.00	.	.	.	.	.	9284	.	SPAN_NONE	632.10	.	53.40	550.00	.	41.60	LVar174.edf	LEFT	true	169198	.	Full Trial Period	true	151897	.	.	.	.	.	0.00	NONE	RIGHT	5.28	624	11636	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 11014 ms	0	.	.	3	3.97	right	1085.00	.	.	.	11014	.	SPAN_NONE	914.70	.	53.65	550.00	.	41.90	4.05	0.00	127.26	.	.	.	false	RIGHT	32	[ ]	.	.	.	11012	881.80	53.70	550.00	41.90	10	[]	false	Saccade: 10982 ms	0	.	.	1	center	1	center	187.55	[ ]	.	.	.	10982	664.00	53.90	550.00	42.00	0.00	NONE	RIGHT	12.67	624	9200	.	[]	[ ]	.	.	.	.	.	.	.	.	.	false	Fixation: 8578 ms	0	.	.	3	5.01	right	944.00	.	.	.	8578	.	SPAN_NONE	1311.10	.	53.75	550.00	.	41.50	12.79	180.00	157.16	.	.	.	false	LEFT	82	[ ]	.	.	.	9282	623.20	52.90	550.00	41.20	9	[]	false	Saccade: 9202 ms	0	.	.	1	center	3	right	244.24	[ ]	.	.	.	9202	1306.10	53.90	550.00	41.60	16	Trial: 2	151897	.	.	.	.	1	1	720	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/single_images/object1.png	.	/Users/eyelink/Documents/MATLAB/Kennedy/LexVar/training_audio/bogdum_stable.wav
