id,condition,trial
104,naturalv,1
104,naturalv,2
104,naturalv,3
104,naturalv,4
104,unnaturalv,5
104,unnaturalv,7
104,unnaturalv,8
104,stable,9
104,stable,10
104,unnaturalv,6
104,stable,11
