id,condition,trial
121,naturalv,1
121,naturalv,2
121,naturalv,3
121,naturalv,4
121,unnaturalv,6
121,unnaturalv,7
121,stable,9
121,stable,10
121,stable,11
121,stable,12
121,unnaturalv,8
