id,condition,trial
129,stable,1
129,stable,2
129,stable,3
129,stable,4
129,naturalv,6
129,naturalv,7
129,naturalv,8
129,unnaturalv,9
129,unnaturalv,10
129,unnaturalv,12
129,unnaturalv,11
